OBJECTID,POINTID,LAT,LON,NUTS_ID,STAT_LEVL_,CNTR_CODE,CRIME,DISP_INC,LEAVERS,EDUC,EMPL,GENDER,HEALTH,INC_EQ,MTRL,POV,PR_LVLS,TCI,WS_QoL,WS_QoLadj,EUSILC
1,1,70.12359390000,27.70646640000,FI1D7,3.000000,FI,0.008300,23153.000000,7.900000,40.900000,69.200000,24.500000,71.650000,25.600000,2.400000,21.600000,122.300000,0.249433,0.609759,6.097592,8.000000
2,2,70.08393340000,28.12007990000,FI1D7,3.000000,FI,0.008300,23153.000000,7.900000,40.900000,69.200000,24.500000,71.650000,25.600000,2.400000,21.600000,122.300000,0.250245,0.609789,6.097886,8.000000
3,3,70.00320150000,27.19230480000,FI1D7,3.000000,FI,0.008300,23153.000000,7.900000,40.900000,69.200000,24.500000,71.650000,25.600000,2.400000,21.600000,122.300000,0.251270,0.609826,6.098257,8.000000
4,4,69.96471590000,27.60487500000,FI1D7,3.000000,FI,0.008300,23153.000000,7.900000,40.900000,69.200000,24.500000,71.650000,25.600000,2.400000,21.600000,122.300000,0.250465,0.609797,6.097966,8.000000
5,5,69.92535550000,28.01630840000,FI1D7,3.000000,FI,0.008300,23153.000000,7.900000,40.900000,69.200000,24.500000,71.650000,25.600000,2.400000,21.600000,122.300000,0.252636,0.609875,6.098751,8.000000
6,6,69.88512540000,28.42658370000,FI1D7,3.000000,FI,0.008300,23153.000000,7.900000,40.900000,69.200000,24.500000,71.650000,25.600000,2.400000,21.600000,122.300000,0.247197,0.609678,6.096783,8.000000
7,7,69.91805490000,26.26997370000,FI1D7,3.000000,FI,0.008300,23153.000000,7.900000,40.900000,69.200000,24.500000,71.650000,25.600000,2.400000,21.600000,122.300000,0.246359,0.609648,6.096479,8.000000
8,8,69.88161140000,26.68253850000,FI1D7,3.000000,FI,0.008300,23153.000000,7.900000,40.900000,69.200000,24.500000,71.650000,25.600000,2.400000,21.600000,122.300000,0.252311,0.609863,6.098634,8.000000
9,9,69.84428930000,27.09402800000,FI1D7,3.000000,FI,0.008300,23153.000000,7.900000,40.900000,69.200000,24.500000,71.650000,25.600000,2.400000,21.600000,122.300000,0.256759,0.610024,6.100243,8.000000
10,10,69.80609310000,27.50442060000,FI1D7,3.000000,FI,0.008300,23153.000000,7.900000,40.900000,69.200000,24.500000,71.650000,25.600000,2.400000,21.600000,122.300000,0.253191,0.609895,6.098952,8.000000
11,11,69.76702770000,27.91369490000,FI1D7,3.000000,FI,0.008300,23153.000000,7.900000,40.900000,69.200000,24.500000,71.650000,25.600000,2.400000,21.600000,122.300000,0.251632,0.609839,6.098388,8.000000
12,12,69.72709770000,28.32183000000,FI1D7,3.000000,FI,0.008300,23153.000000,7.900000,40.900000,69.200000,24.500000,71.650000,25.600000,2.400000,21.600000,122.300000,0.251117,0.609820,6.098202,8.000000
13,13,69.68630810000,28.72880550000,FI1D7,3.000000,FI,0.008300,23153.000000,7.900000,40.900000,69.200000,24.500000,71.650000,25.600000,2.400000,21.600000,122.300000,0.252694,0.609877,6.098772,8.000000
14,14,69.64466370000,29.13460120000,FI1D7,3.000000,FI,0.008300,23153.000000,7.900000,40.900000,69.200000,24.500000,71.650000,25.600000,2.400000,21.600000,122.300000,0.255785,0.609989,6.099891,8.000000
15,15,69.75884380000,26.17716010000,FI1D7,3.000000,FI,0.008300,23153.000000,7.900000,40.900000,69.200000,24.500000,71.650000,25.600000,2.400000,21.600000,122.300000,0.254369,0.609938,6.099379,8.000000
16,16,69.72267370000,26.58753300000,FI1D7,3.000000,FI,0.008300,23153.000000,7.900000,40.900000,69.200000,24.500000,71.650000,25.600000,2.400000,21.600000,122.300000,0.254541,0.609944,6.099441,8.000000
17,17,69.68563050000,26.99684830000,FI1D7,3.000000,FI,0.008300,23153.000000,7.900000,40.900000,69.200000,24.500000,71.650000,25.600000,2.400000,21.600000,122.300000,0.260558,0.610162,6.101619,8.000000
18,18,69.64771880000,27.40508450000,FI1D7,3.000000,FI,0.008300,23153.000000,7.900000,40.900000,69.200000,24.500000,71.650000,25.600000,2.400000,21.600000,122.300000,0.256651,0.610020,6.100205,8.000000
19,19,69.60894300000,27.81222070000,FI1D7,3.000000,FI,0.008300,23153.000000,7.900000,40.900000,69.200000,24.500000,71.650000,25.600000,2.400000,21.600000,122.300000,0.253976,0.609924,6.099237,8.000000
20,20,69.56930810000,28.21823620000,FI1D7,3.000000,FI,0.008300,23153.000000,7.900000,40.900000,69.200000,24.500000,71.650000,25.600000,2.400000,21.600000,122.300000,0.254439,0.609940,6.099404,8.000000
21,21,69.52881850000,28.62311070000,FI1D7,3.000000,FI,0.008300,23153.000000,7.900000,40.900000,69.200000,24.500000,71.650000,25.600000,2.400000,21.600000,122.300000,0.255483,0.609978,6.099782,8.000000
22,22,69.48747930000,29.02682450000,FI1D7,3.000000,FI,0.008300,23153.000000,7.900000,40.900000,69.200000,24.500000,71.650000,25.600000,2.400000,21.600000,122.300000,0.256673,0.610021,6.100213,8.000000
23,23,69.44529510000,29.42935800000,FI1D7,3.000000,FI,0.008300,23153.000000,7.900000,40.900000,69.200000,24.500000,71.650000,25.600000,2.400000,21.600000,122.300000,0.261821,0.610208,6.102076,8.000000
24,24,69.59988880000,26.08538250000,FI1D7,3.000000,FI,0.008300,23153.000000,7.900000,40.900000,69.200000,24.500000,71.650000,25.600000,2.400000,21.600000,122.300000,0.257766,0.610061,6.100608,8.000000
25,25,69.56398730000,26.49358530000,FI1D7,3.000000,FI,0.008300,23153.000000,7.900000,40.900000,69.200000,24.500000,71.650000,25.600000,2.400000,21.600000,122.300000,0.257152,0.610039,6.100386,8.000000
26,26,69.52721820000,26.90074770000,FI1D7,3.000000,FI,0.008300,23153.000000,7.900000,40.900000,69.200000,24.500000,71.650000,25.600000,2.400000,21.600000,122.300000,0.261042,0.610179,6.101794,8.000000
27,27,69.48958590000,27.30684860000,FI1D7,3.000000,FI,0.008300,23153.000000,7.900000,40.900000,69.200000,24.500000,71.650000,25.600000,2.400000,21.600000,122.300000,0.260360,0.610155,6.101547,8.000000
